Temperature,Humidity,Precipitation (%),UV Index,Pressure,hour_of_day,day_of_week,month,Condition,Target_Condition
45.31,30.56,19.31,0.0,1010.49,6,3,5,Sunny,Cloudy
26.81,74.98,27.68,1.93,1012.73,15,2,5,Cloudy,Cloudy
38.0,21.37,32.19,1.69,1026.6,7,5,3,Sunny,Cloudy
14.74,60.47,88.47,0.43,1009.39,7,1,3,Rainy,Rainy
48.21,36.99,23.74,7.31,1012.71,9,1,6,Sunny,Sunny
15.32,76.23,52.9,0.3,997.98,18,3,7,Rainy,Rainy
25.1,64.91,62.98,3.89,1015.52,17,6,4,Cloudy,Sunny
22.16,65.63,30.48,0.0,982.76,3,6,5,Rainy,Cloudy
23.09,55.12,30.08,5.16,1006.66,18,2,10,Sunny,Cloudy
20.25,48.8,41.99,2.52,999.37,9,5,12,Cloudy,Rainy
32.33,67.57,28.06,0.0,1017.02,4,1,11,Sunny,Rainy
29.06,58.95,5.12,8.38,1021.15,11,6,12,Sunny,Sunny
29.35,22.49,20.43,9.54,1007.08,14,4,11,Sunny,Sunny
28.65,58.41,23.91,2.01,1024.27,19,6,3,Sunny,Rainy
28.66,78.25,10.27,3.08,997.62,9,2,8,Cloudy,Sunny
3.56,82.76,60.47,0.5,984.49,16,1,11,Rainy,Rainy
47.31,50.2,37.02,0.0,1023.94,6,5,7,Sunny,Sunny
33.0,86.89,64.45,0.0,1022.74,0,2,6,Cloudy,Cloudy
38.19,47.14,23.33,0.0,1005.87,2,1,3,Sunny,Sunny
32.02,47.26,1.42,1.58,1015.96,7,5,11,Sunny,Sunny
-3.04,76.97,32.25,0.0,983.0,20,4,12,Rainy,Cloudy
29.17,71.84,7.14,5.16,1029.19,18,4,10,Sunny,Cloudy
7.21,87.56,43.62,0.0,973.74,1,0,2,Rainy,Sunny
25.09,71.39,28.72,0.84,1006.59,9,3,6,Rainy,Sunny
44.29,48.08,0.36,6.92,1004.54,14,6,7,Sunny,Sunny
-0.39,92.02,60.71,0.35,999.38,17,2,1,Rainy,Cloudy
30.9,58.7,8.08,4.9,1025.32,16,1,10,Sunny,Sunny
31.46,33.98,29.19,2.52,1012.46,7,3,12,Sunny,Sunny
36.38,61.64,23.61,0.76,1019.8,7,4,7,Cloudy,Cloudy
37.36,69.22,16.37,4.75,1007.23,13,6,7,Cloudy,Sunny
4.87,86.03,95.45,0.0,974.24,6,5,12,Rainy,Rainy
9.84,64.3,71.72,0.0,1019.32,23,6,1,Cloudy,Rainy
15.65,85.81,40.46,0.24,979.13,7,1,2,Rainy,Rainy
2.38,59.64,32.09,0.09,1005.57,18,2,11,Rainy,Sunny
13.77,84.53,51.67,0.0,984.38,21,6,4,Rainy,Rainy
29.5,79.2,42.74,5.71,1016.8,15,5,7,Cloudy,Sunny
4.22,79.02,61.07,0.0,974.56,2,6,2,Rainy,Rainy
13.38,83.56,60.58,0.09,973.15,18,4,6,Rainy,Rainy
13.48,58.97,36.3,0.64,979.31,18,3,9,Rainy,Rainy
26.21,26.83,10.39,1.45,1029.5,19,6,2,Sunny,Rainy
38.68,44.36,0.78,0.0,1018.34,2,3,4,Sunny,Sunny
2.84,87.83,73.56,0.2,980.54,14,1,1,Rainy,Rainy
3.27,83.05,78.8,0.94,977.21,17,1,2,Rainy,Rainy
