Temperature,Humidity,Precipitation (%),UV Index,Pressure,hour_of_day,day_of_week,month,Condition,Target_Condition
19.22,82.56,88.27,0.75,996.9,10,0,8,Rainy,Sunny
24.13,63.78,42.61,2.3,1003.52,9,6,10,Cloudy,Cloudy
20.27,88.61,55.36,0.48,996.53,12,4,4,Rainy,Rainy
29.7,45.95,21.6,11.09,1025.16,14,5,1,Sunny,Sunny
20.34,76.47,45.88,1.26,1010.69,8,5,1,Cloudy,Rainy
17.64,67.94,21.56,2.12,1005.17,11,5,1,Cloudy,Sunny
28.81,32.84,16.87,0.0,1023.78,22,4,1,Sunny,Sunny
41.58,46.74,6.63,5.03,1027.86,13,2,8,Sunny,Sunny
35.11,33.91,0.73,0.0,1029.62,1,3,3,Sunny,Rainy
41.47,28.51,8.95,1.47,1027.21,18,3,5,Sunny,Sunny
34.04,32.11,15.79,7.63,1012.91,11,2,1,Sunny,Cloudy
50.0,20.2,5.52,3.02,1017.6,9,4,7,Sunny,Sunny
0.14,79.9,74.24,0.26,987.07,18,4,1,Rainy,Cloudy
13.38,72.08,27.78,4.16,1010.83,15,2,1,Cloudy,Cloudy
27.56,78.42,30.48,3.19,1008.28,10,6,3,Cloudy,Cloudy
17.5,69.35,44.42,0.0,999.06,7,6,11,Cloudy,Cloudy
16.63,44.01,22.53,0.0,1008.75,23,0,10,Cloudy,Cloudy
1.12,89.23,64.4,0.0,980.17,19,3,10,Rainy,Rainy
12.47,88.9,54.85,0.0,994.39,7,6,10,Rainy,Rainy
29.18,77.51,18.39,2.05,1015.56,14,3,4,Cloudy,Cloudy
41.27,43.14,12.52,0.0,1021.73,0,4,8,Sunny,Cloudy
30.73,58.5,25.65,0.87,1001.67,8,2,4,Cloudy,Rainy
26.73,21.75,2.69,9.15,1015.63,15,6,11,Sunny,Cloudy
38.75,50.88,19.66,0.0,1006.81,7,6,5,Cloudy,Cloudy
37.38,18.23,3.15,7.02,1028.63,12,2,3,Sunny,Cloudy
32.41,51.7,8.46,0.0,1007.33,3,4,2,Sunny,Sunny
45.51,25.38,7.84,10.56,1027.9,14,0,7,Sunny,Rainy
34.53,46.41,39.12,3.77,1018.45,15,5,5,Cloudy,Cloudy
13.21,44.28,47.55,0.63,999.72,18,3,2,Cloudy,Cloudy
22.02,71.27,76.76,0.0,1007.26,7,0,8,Rainy,Rainy
39.59,54.58,12.51,10.84,1024.37,12,1,9,Sunny,Rainy
25.48,49.28,21.91,0.0,1013.57,22,2,12,Sunny,Cloudy
22.27,36.54,8.54,2.75,1029.6,18,4,1,Sunny,Sunny
20.02,59.18,16.04,0.0,999.5,19,6,4,Cloudy,Cloudy
9.87,74.88,78.66,0.0,1003.65,22,1,8,Rainy,Sunny
21.29,65.48,8.61,2.22,1019.2,9,1,1,Cloudy,Rainy
39.06,26.76,2.44,0.0,1029.28,7,0,9,Sunny,Sunny
28.16,36.08,8.03,0.0,1019.02,21,6,10,Sunny,Sunny
7.99,69.01,63.28,0.56,1003.4,9,1,1,Rainy,Rainy
29.08,66.45,8.03,1.26,1003.16,8,5,8,Cloudy,Rainy
28.38,65.56,45.29,0.0,1011.51,20,1,7,Cloudy,Cloudy
19.78,80.25,45.25,3.32,1013.13,11,0,1,Cloudy,Rainy
9.27,85.13,55.81,0.0,987.64,7,5,2,Rainy,Rainy
47.4,51.43,19.55,6.77,1007.59,12,5,4,Sunny,Sunny
1.06,76.7,50.98,0.0,1000.11,18,0,10,Rainy,Rainy
15.54,74.3,66.88,0.18,997.02,17,1,7,Rainy,Sunny
42.45,31.98,15.43,0.0,1029.66,5,0,3,Sunny,Sunny
14.21,79.93,76.71,0.57,977.51,9,2,9,Rainy,Rainy
26.39,14.47,18.81,11.21,1005.01,14,5,11,Sunny,Cloudy
44.56,16.85,17.05,0.0,1007.81,3,4,8,Sunny,Rainy
9.59,98.72,61.03,0.22,986.61,11,6,11,Rainy,Rainy
34.35,29.29,5.26,1.43,1020.76,18,3,9,Sunny,Rainy
40.01,48.8,7.86,5.56,1019.19,10,1,3,Sunny,Sunny
15.71,95.09,72.87,0.0,998.83,2,6,4,Rainy,Rainy
2.65,71.16,90.62,0.63,985.59,13,4,1,Rainy,Sunny
35.39,30.84,20.27,0.0,1014.0,7,5,2,Sunny,Sunny
18.25,70.7,94.38,0.0,990.4,4,1,6,Rainy,Rainy
10.68,78.29,46.96,0.53,978.53,14,5,3,Rainy,Rainy
-1.64,68.98,74.21,0.33,999.64,17,3,11,Rainy,Cloudy
0.14,75.73,51.41,0.7,1009.89,17,5,1,Rainy,Rainy
38.34,14.26,18.09,5.3,1010.35,9,0,2,Sunny,Sunny
50.0,32.68,15.04,9.55,1019.7,11,3,7,Sunny,Cloudy
13.65,83.66,89.91,0.0,986.85,21,0,6,Rainy,Sunny
16.19,92.18,47.15,0.42,1005.6,17,1,7,Rainy,Rainy
17.85,47.3,43.93,2.86,1011.82,14,5,2,Cloudy,Cloudy
27.61,30.53,4.06,4.71,1014.28,16,1,11,Sunny,Sunny
31.94,59.17,47.08,1.65,1009.07,12,3,7,Cloudy,Sunny
31.58,28.97,12.33,7.97,1010.71,16,6,10,Sunny,Sunny
28.25,54.6,25.51,1.38,1001.87,17,4,5,Cloudy,Rainy
12.49,55.85,14.42,0.0,1011.95,19,0,3,Cloudy,Cloudy
10.4,83.23,88.25,1.31,989.83,13,4,9,Rainy,Sunny
24.14,73.53,12.19,2.67,1019.09,10,0,11,Cloudy,Cloudy
11.43,79.39,69.49,0.19,980.35,11,4,10,Rainy,Rainy
18.26,81.63,66.81,0.9,997.84,13,5,8,Rainy,Sunny
15.75,79.83,58.5,0.0,995.62,19,1,6,Rainy,Sunny
34.5,72.77,21.42,2.94,1007.79,14,6,5,Cloudy,Cloudy
44.95,54.38,13.95,0.0,1013.85,5,4,8,Sunny,Sunny
23.61,47.81,29.87,2.9,997.37,10,6,2,Cloudy,Cloudy
30.12,11.77,20.82,0.0,1007.07,0,0,10,Sunny,Sunny
44.18,41.76,15.4,9.9,1026.36,13,6,5,Sunny,Sunny
13.1,78.42,90.25,0.18,985.88,17,0,4,Rainy,Cloudy
32.63,16.14,7.31,6.25,1012.01,11,0,1,Sunny,Rainy
39.6,40.74,8.24,4.76,1026.76,15,0,8,Sunny,Cloudy
42.25,44.27,12.6,0.0,1010.55,19,3,6,Sunny,Sunny
48.15,35.49,8.43,1.46,1006.16,8,3,5,Sunny,Rainy
